OD;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;251;252;253;254;255;256;257;258;259;260;261;262;263;264;265;266;267;268;269;270;271;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292;293;294;295;296;297;298;299;300;301;302;303;304;305;306;307;308;309;310;311;312;313;314;315;316;317;318;319;320;321;322;323;324;325;326;327;328;329;330;331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350;351;352;353;354;355;356;357;358;359;360;361;362;363;364;365;366;367;368;369;370;371;372;373;374;375;376;377;378;379;380;381;382;383;384;385;386;387;388;389;390;391;392;393;394;395;396;397;398;399;400;401;402;403;404;405;406;407;408;409;410;411;412;413;414;415;416;417;418;419;420;421;422;423;424;425;426;427;428;429;430;431;432;433;434;435;436;437;438;439;440;441;442;443;444;445;446;447;448;449;450;451;452;453;454;455;456;457;458;459;460;461;462;463;464;465;466;467;468;469;470;471;472;473;474;475;476;477;478;479;480;481;482;483;484;485;486;487;488;489;490;491;492;493;494;495;496;497;498;499;500;501;502;503;504;505;506;507;508;509;510;511;512;513;514;515;516;517
1;0;167;485;331;301;280;0;90;101;161;0;0;12;18;0;679;150;460;273;767;373;433;1.016;897;0;331;636;798;138;271;605;383;0;192;1.489;1.163;667;29;181;69;657;0;624;244;442;440;383;445;206;24;440;485;19;149;0;224;350;546;267;664;586;56;63;95;244;103;60;396;0;0;0;0;0;93;258;148;43;222;386;442;37;83;589;43;12;0;33;389;72;128;0;4;879;0;0;134;116;0;0;0;321;217;11;0;184;0;108;14;1.418;693;0;323;67;0;0;2.919;0;0;0;0;0;384;0;1.375;0;0;0;31;80;45;29;0;917;0;170;717;1.180;71;262;963;730;0;0;564;35;0;0;241;0;474;1.789;187;488;542;579;243;0;1.058;0;0;0;0;1.152;0;72;568;870;431;879;305;126;121;0;0;236;0;198;0;0;0;0;90;282;359;351;160;464;0;0;0;0;546;0;127;214;0;0;482;541;222;146;0;153;1.517;0;1.701;0;0;206;588;623;0;0;87;310;0;637;1.278;0;184;263;0;0;0;268;0;0;206;1.147;0;152;195;550;1.367;525;414;70;309;345;434;0;0;574;195;577;114;893;0;0;123;200;380;0;1.181;0;0;0;711;0;312;0;0;851;613;373;0;0;0;0;228;0;123;0;196;0;0;276;395;0;188;0;0;0;0;0;0;0;0;0;0;0;0;869;860;0;0;0;657;88;285;57;0;359;993;0;764;773;0;0;0;0;161;0;0;185;103;0;0;0;569;214;0;0;0;0;498;306;79;101;0;0;0;0;0;0;0;0;0;522;460;0;373;0;520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;0;0;0;42;0;0;0;0;0;0;0;0;0;0;1.006;0;658;837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;558;304;0;0;276;209;0;0;0;0;0;0;0;0;155;0;0;0;0;0;0;0;0;426;730;0;0;720;0;151;0;211;153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;0;518;688;0;0;765;0;641;103;680;0;0;0;0;68;312;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;470;22;0;0;389;0;0;0;0;0;0;0;1.018;0;0;0;0;0;0;0;0;52;143;221;0;0;0;0;256;0;0;0;0;0
2;79;0;0;93;193;1.085;342;0;92;0;12;347;15;476;351;193;127;299;28;425;0;67;141;517;325;139;169;0;0;0;612;190;17;42;40;131;93;0;85;0;90;30;174;165;1.300;0;0;269;197;98;93;0;58;268;14;381;171;615;1.213;386;0;0;0;104;104;0;88;281;0;160;0;89;180;489;126;0;188;52;57;88;92;421;69;270;11;64;0;413;0;0;0;0;44;0;75;0;0;0;208;150;166;0;20;0;78;60;99;0;985;439;0;0;0;0;0;1.515;0;0;0;0;0;0;0;0;0;0;0;10;1.035;45;43;0;0;211;75;46;468;0;0;0;1.657;298;0;671;0;0;0;0;0;0;882;921;0;1.325;0;0;167;0;119;233;628;0;0;59;32;1.531;0;0;779;0;0;0;0;0;0;453;97;0;0;66;599;0;156;0;0;0;0;188;0;550;0;294;151;0;60;0;762;833;541;0;390;444;0;1.308;1.297;974;594;0;0;0;0;653;412;323;0;0;467;0;343;576;0;0;572;0;134;3.087;0;687;3.014;1.326;398;0;338;287;890;15;0;0;116;0;126;0;275;0;400;165;963;0;607;396;0;0;0;0;0;0;0;317;0;0;292;0;0;0;0;114;0;35;0;288;0;148;0;196;169;627;0;546;711;0;0;433;0;272;0;0;0;0;0;0;0;0;0;2.830;0;0;0;0;0;295;86;0;0;0;220;0;0;0;645;0;1.481;0;0;0;378;72;0;158;0;0;0;84;0;0;0;0;0;0;51;430;503;0;0;320;0;0;0;0;100;144;136;0;0;0;0;0;0;0;0;0;1.204;0;0;0;0;294;0;203;0;0;0;0;0;0;0;0;0;0;0;0;139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;659;0;0;0;0;0;491;0;0;241;0;0;0;0;171;0;578;256;0;0;0;0;0;0;0;0;128;0;0;0;0;819;0;0;0;0;728;252;0;0;555;0;0;0;0;0;407;592;0;970;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;811;0;0;0;0;0;0;0;533;0;0;0;0;0;0;0;0;0;775;0;0;59;0;0;51;0;0;0;0;21;0;415;0;0;0;0;0;0;0;48;216;0;0;0;543;0;631;405;0;0
3;485;0;0;0;156;0;78;156;0;0;0;170;0;0;393;569;0;170;0;465;250;0;145;0;225;515;46;38;236;0;30;466;0;0;0;663;0;35;0;0;0;0;238;0;0;0;0;0;682;507;0;61;138;37;0;32;199;200;481;0;0;27;0;352;0;118;171;95;253;0;0;0;156;656;0;38;0;0;82;0;115;436;443;47;24;0;240;0;0;123;0;867;0;31;0;27;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;249;0;41;0;0;49;0;11;0;495;0;93;0;0;0;0;0;427;297;0;0;37;0;0;0;0;0;0;0;152;0;0;292;0;0;0;0;0;0;0;0;0;368;0;0;493;202;247;0;0;0;0;670;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;0;0;0;0;0;0;0;0;620;0;0;0;0;0;0;0;0;482;0;0;0;352;274;0;0;0;0;0;365;0;0;0;220;0;0;0;26;0;610;109;26;0;0;0;0;0;0;0;0;118;645;0;0;351;0;0;277;0;0;0;0;0;0;0;0;0;153;0;462;0;0;0;0;0;0;0;0;825;245;170;0;0;0;0;0;0;106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;129;32;0;0;0;0;0;0;0;806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;307;0;156;0;0;0;0;0;0;0;0;0;0;124;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;73;0;738;0;384;0;0;0;0;0;674;0;0;0;0;0;0;0;0;0;0;0;0;260;0;224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;533;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;240;0;0;0;0;0;0;355;0;0;0;36;0;0;0;0;0;0;0;0;0;0;0;405;0
4;98;101;0;0;0;0;0;90;0;0;0;0;0;0;214;178;64;0;0;0;206;73;0;0;0;0;192;102;0;0;487;272;8;42;1.565;466;0;0;0;18;0;0;742;0;246;0;0;0;0;0;0;0;0;0;72;0;248;455;0;0;204;0;0;193;0;101;583;215;233;0;0;0;373;191;38;495;241;11;1.305;44;0;72;0;55;0;18;36;0;198;0;0;1;561;35;0;77;0;0;0;742;0;0;0;0;0;0;0;0;214;0;0;182;586;0;0;0;0;129;0;0;542;0;0;507;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;455;1.829;0;0;0;0;0;0;263;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;473;0;0;0;0;342;0;1.146;244;0;0;0;0;0;0;0;0;0;0;0;0;190;0;1.153;0;0;826;0;0;0;323;0;438;922;0;0;0;0;0;0;0;0;0;0;0;0;0;398;306;0;0;0;0;0;0;26;178;0;0;0;339;392;0;255;0;0;0;0;0;0;51;0;0;805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;572;0;0;495;0;0;0;0;272;0;0;57;0;0;0;0;206;0;0;166;0;554;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;73;0;55;0;368;257;0;0;0;0;0;0;198;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;274;831;0;0;0;0;0;229;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;594;0;0;0;351;0;0;0;0;0;0;0;406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;0;0;0;0;0;0
5;354;193;156;73;0;0;210;88;208;0;0;191;59;197;59;68;26;836;285;276;467;125;29;928;162;0;1.096;1.039;265;263;518;856;15;39;1.820;1.224;20;0;0;18;55;0;1.629;0;483;0;0;0;547;0;456;61;576;37;72;148;521;100;0;370;1.789;29;176;0;0;0;53;97;248;22;193;33;76;0;538;142;531;455;426;502;56;128;213;1.451;52;48;91;909;0;234;0;4;232;77;0;0;0;0;209;274;691;313;38;21;0;0;176;0;980;0;0;0;0;0;427;773;0;0;464;0;1.059;698;0;1.375;1.049;402;912;69;74;28;15;601;1.693;233;75;0;1.444;0;624;799;1.522;0;0;0;60;0;504;0;0;38;814;498;0;0;304;122;368;1.036;0;0;294;0;238;47;32;602;0;101;860;327;0;475;0;0;460;0;0;0;0;0;0;1.877;0;0;0;97;249;610;269;282;0;276;671;522;0;0;189;597;1.696;149;530;0;1.181;550;412;0;0;397;870;1.217;0;0;256;115;0;0;0;482;654;1.145;727;812;0;0;134;1.177;674;192;126;0;152;0;311;0;0;51;47;0;0;0;0;563;0;195;423;0;0;0;241;108;200;126;0;0;0;88;0;0;0;0;464;0;0;613;0;0;0;116;151;0;0;0;640;0;595;797;0;265;0;0;589;0;0;0;467;0;106;0;505;0;0;687;1.545;0;0;0;0;644;0;0;0;92;462;0;405;0;0;0;427;0;0;0;0;0;181;0;38;112;17;455;0;0;0;0;22;0;22;0;356;960;0;426;186;879;418;0;0;310;558;40;110;0;0;0;304;0;0;0;0;0;0;0;0;0;0;0;0;267;0;0;120;122;1.410;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.951;87;0;0;161;0;183;241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;279;49;189;154;0;0;0;0;1.096;0;0;0;0;0;0;0;0;0;0;0;0;1.580;0;0;0;0;0;0;0;0;592;0;0;0;0;0;830;0;0;0;0;981;320;834;0;0;0;0;0;571;0;0;0;0;0;88;0;0;0;0;0;0;0;0;0;470;1.088;484;0;0;0;0;0;420;458;2.360;0;0;0;0;333;0;483;0;0;932;76;0;0;0;0;0;0;0;64;0;1.175;0;0
6;305;1.475;0;0;0;0;190;0;40;581;24;354;40;0;53;0;198;0;276;0;83;73;92;350;0;1.156;97;251;0;0;416;488;0;42;683;163;704;0;0;0;378;511;1.198;0;0;280;107;0;0;74;104;0;58;14;168;529;424;0;257;0;619;0;0;0;0;0;0;121;79;91;0;0;169;55;61;321;435;111;85;44;0;257;363;102;0;0;36;0;231;76;0;1;1.486;38;0;0;0;0;0;249;0;0;6;11;0;0;0;0;0;422;0;0;0;0;0;1.009;0;0;0;0;0;883;0;670;457;0;348;10;22;0;0;469;0;612;122;493;0;0;79;0;0;323;0;350;0;0;0;0;0;0;401;45;0;601;0;0;59;0;0;0;0;87;0;111;32;804;857;257;0;0;0;0;0;0;608;0;46;0;0;0;419;0;84;0;0;0;0;0;397;0;0;0;0;0;0;393;333;0;0;0;0;0;0;678;0;0;1.138;0;0;542;0;0;0;124;0;0;0;1.377;0;0;0;0;0;0;0;521;56;0;0;0;0;49;0;0;0;28;0;294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;280;0;0;0;674;0;0;928;335;0;0;0;217;0;0;0;0;0;0;0;419;274;0;0;395;0;0;0;0;0;0;666;0;0;166;0;0;0;0;0;0;0;0;0;301;0;0;0;0;494;558;404;0;298;0;249;0;0;0;0;0;321;0;0;0;0;0;0;0;0;0;0;498;0;0;614;267;0;331;0;0;0;0;0;0;0;257;139;0;0;621;0;0;0;0;0;906;0;0;0;0;0;0;0;0;0;0;0;131;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.468;0;458;0;198;0;0;0;316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;354;0;0;0;2.121;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;592;339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;734;0;0;1.018;670;0;0;0;52;103;0;0;0;0;0;796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;777;499;0;0
7;0;177;78;0;311;190;0;0;29;0;36;433;314;0;0;0;46;0;0;0;0;0;322;60;174;0;60;26;0;0;221;234;0;0;139;0;97;32;0;0;0;81;500;534;0;0;0;305;100;0;0;0;0;0;0;440;0;0;1.158;102;210;29;0;120;0;0;0;100;75;0;0;0;129;83;161;42;0;0;42;0;0;0;304;0;0;0;0;163;392;0;0;189;0;83;204;0;0;0;129;554;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;823;0;878;0;143;0;745;0;689;49;0;0;821;0;234;0;0;52;93;0;0;0;0;206;0;0;635;0;0;0;0;921;0;223;0;0;70;0;0;0;0;100;0;0;210;0;0;222;0;106;0;700;0;0;0;493;0;0;0;630;71;0;0;0;0;0;273;0;0;0;0;362;0;127;214;0;0;0;541;0;0;594;0;0;0;0;1.138;0;0;0;0;53;0;0;0;883;447;738;447;0;0;0;210;0;134;607;295;0;1.228;770;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;332;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;287;0;967;849;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;210;0;0;0;0;0;0;0;0;0;0;740;0;114;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;0;0;0;384;0;0;558;0;0;0;0;0;0;0;0;845;0;0;0;0;656;0;0;0;0;0;0;0;0;32;0;0;0;671;0;0;0;0;0;900;0;418;0;0;0;0;0;0;332;0;0;0;0;0;0;783;0;0;0;0;0;0;752;276;0;0;0;0;0;226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;166;0;0;0;0;448;0;581;0;0;0;0;0;0;0;407;0;0;970;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;289;0;0;0;0;0;0;0;702;0;596;0;0;0;243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;90;0;156;90;195;0;0;271;0;48;0;0;0;0;90;0;90;0;111;320;0;0;0;125;0;0;38;0;0;84;280;0;0;0;252;211;0;0;52;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;167;0;0;0;0;0;111;0;0;0;0;0;0;0;0;111;0;155;0;0;120;12;0;0;71;0;0;80;0;232;38;0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;84;0;328;0;0;0;0;0;442;0;706;0;0;268;0;0;41;0;173;0;0;0;0;663;107;0;595;166;0;0;0;0;28;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;178;0;0;742;0;0;0;0;0;0;0;466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;321;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;801;0;0;0;0;0;0;0;0;344;0;0;0;0;0;0;0;0;0;173;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;329;0;0;0;0;0;0;0;0;0;0;0
9;0;100;0;0;208;40;29;0;29;191;0;0;0;40;0;0;0;0;0;0;111;0;26;20;0;0;60;26;0;0;79;0;0;134;88;109;441;0;0;0;0;0;20;0;754;0;0;0;0;74;80;0;0;0;168;107;30;0;1.213;327;0;0;0;0;92;0;0;29;0;0;0;0;0;0;0;0;92;0;0;40;26;0;0;45;0;20;33;138;0;0;0;0;92;92;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;236;0;0;0;0;0;0;71;0;593;0;0;310;295;0;95;0;0;154;0;0;0;0;93;343;578;728;0;59;0;0;0;0;0;0;0;92;152;219;0;0;0;0;0;0;0;0;0;0;40;0;0;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113;0;0;0;0;779;0;0;0;0;0;0;0;0;0;812;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;176;398;0;152;0;0;0;1.202;0;0;0;0;0;0;0;275;0;0;0;0;0;0;0;0;0;0;0;0;404;0;0;0;0;0;0;0;0;679;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;49;250;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;73;0;0;0;504;0;0;26;0;0;0;0;0;0;0;665;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;458;0;0;0;957;0;0;0;0;0;0;0;0;0;0;109;0;0;0;0;324;0;0;290;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;457;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;337;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;467;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;161;0;0;0;0;469;141;36;199;0;0;218;0;0;0;0;20;0;396;0;0;0;0;0;0;0;0;0;32;12;21;18;0;11;0;0;0;84;51;0;0;5;63;0;0;0;0;0;8;0;104;0;11;111;0;0;0;0;0;0;0;0;8;0;0;0;0;12;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;281;0;0;0;0;0;0;0;0;246;0;0;0;0;0;0;0;0;0;0;0;0;0;903;0;0;1.110;0;0;0;0;0;0;0;0;0;0;0;0;0;3.143;1.005;546;0;257;676;53;0;0;0;0;11;295;0;88;469;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;550;592;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;0;114;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;280;0;0;0;0;0;0;0;0;26;0;14;0;0;0;0;0;0;0;0;0;0;0;0;187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;330;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;132;0;0;0;0;0;0;0;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
